iter	MAE
0	10704.57695
1	10452.05675
2	10213.74472
3	9993.828957
4	9783.571787
5	9605.072014
6	9437.100472
7	9271.050909
8	9120.335597
9	8972.799293
10	8834.844048
11	8715.259075
12	8586.423319
13	8460.285563
14	8351.774613
15	8249.427263
16	8147.557767
17	8036.541792
18	7940.463095
19	7838.904641
20	7752.246876
21	7671.67237
22	7624.568311
23	7548.793676
24	7507.263254
25	7467.529797
26	7426.837701
27	7391.834995
28	7330.302327
29	7284.266519
30	7245.706418
31	7209.786272
32	7184.60151
33	7160.664148
34	7138.263111
35	7076.123266
36	7058.342245
37	7040.039989
38	7022.700203
39	7006.416055
40	6976.275751
41	6961.746056
42	6934.261784
43	6921.190828
44	6908.748454
45	6897.746317
46	6887.251187
47	6864.32102
48	6855.067431
49	6845.980435
50	6837.471511
51	6829.663618
52	6786.649785
53	6776.566635
54	6768.870669
55	6759.537163
56	6751.749259
57	6744.252573
58	6738.794359
59	6731.421049
60	6725.044179
61	6720.263288
62	6715.752501
63	6711.492936
64	6707.48182
65	6667.104075
66	6651.637499
67	6645.521205
68	6639.667763
69	6634.895997
70	6623.309509
71	6619.441074
72	6615.900442
73	6577.851249
74	6575.408314
75	6573.100391
76	6570.00352
77	6567.098867
78	6564.458377
79	6561.41122
80	6544.239237
81	6500.759331
82	6459.562657
83	6457.702627
84	6450.146427
85	6414.554627
86	6413.039933
87	6411.529902
88	6410.229933
89	6405.626797
90	6404.786894
91	6403.676775
92	6402.775565
93	6402.132048
94	6401.619116
95	6400.873783
96	6399.486762
97	6398.84665
98	6397.417501
99	6396.553098
100	6396.145305
101	6394.924816
102	6360.149555
103	6355.996832
104	6352.074543
105	6348.376789
106	6344.662826
107	6341.274966
108	6310.403742
109	6297.298541
110	6294.825331
111	6294.42858
112	6291.648114
113	6291.183579
114	6286.797207
115	6277.288673
116	6271.986218
117	6269.810164
118	6269.340901
119	6228.734678
120	6191.023135
121	6189.200243
122	6179.037356
123	6177.358176
124	6164.624231
125	6163.042041
126	6153.323873
127	6144.371068
128	6143.066047
129	6141.798763
130	6139.036106
131	6137.954012
132	6136.833016
133	6136.22055
134	6131.904234
135	6130.977944
136	6130.751184
137	6130.308059
138	6129.379557
139	6122.100071
140	6121.11671
141	6120.372435
142	6119.669317
143	6119.008156
144	6118.29426
145	6117.761733
146	6117.498191
147	6104.860919
148	6103.813187
149	6102.859179
150	6102.736711
151	6102.275211
152	6071.91845
153	6071.253545
154	6070.653172
155	6070.325229
156	6069.975459
157	6069.886069
158	6069.800104
159	6069.503168
160	6069.329133
161	6068.954319
