iter	Passed	Remaining
0	288	288552
1	539	269180
2	747	248566
3	955	237808
4	1161	231219
5	1366	226362
6	1607	228093
7	1811	224663
8	2016	222052
9	2254	223212
10	2508	225519
11	2754	226769
12	2964	225050
13	3166	223027
14	3405	223598
15	3609	221963
16	3818	220786
17	4026	219648
18	4269	220418
19	4473	219223
20	4712	219708
21	4963	220645
22	5168	219553
23	5374	218582
24	5614	218969
25	5824	218196
26	6062	218487
27	6317	219291
28	6534	218809
29	6770	218914
30	7006	219009
31	7243	219106
32	7487	219415
33	7731	219667
34	7974	219881
35	8181	219077
36	8386	218284
37	8631	218516
38	8877	218749
39	9124	218984
40	9358	218892
41	9569	218278
42	9802	218163
43	10014	217582
44	10222	216941
45	10467	217080
46	10712	217214
47	10946	217100
48	11191	217215
49	11441	217387
50	11687	217478
51	11931	217521
52	12174	217538
53	12383	216945
54	12578	216121
55	12797	215736
56	13041	215749
57	13256	215308
58	13448	214484
59	13661	214025
60	13904	214042
61	14099	213313
62	14292	212578
63	14485	211854
64	14679	211160
65	14923	211187
66	15122	210587
67	15370	210671
68	15614	210677
69	15856	210665
70	16070	210278
71	16326	210436
72	16574	210477
73	16782	210006
74	17000	209671
75	17219	209353
76	17461	209313
77	17708	209327
78	17951	209287
79	18206	209372
80	18418	208965
81	18616	208415
82	18816	207890
83	19026	207479
84	19230	207010
85	19436	206573
86	19646	206177
87	19880	206037
88	20090	205646
89	20331	205576
90	20532	205097
91	20775	205046
92	20987	204685
93	21224	204565
94	21463	204465
95	21675	204106
96	21884	203726
97	22096	203381
98	22338	203306
99	22573	203161
100	22779	202759
101	22993	202434
102	23200	202042
103	23437	201919
104	23676	201816
105	23916	201710
106	24141	201481
107	24379	201358
108	24585	200969
109	24815	200777
110	25050	200627
111	25283	200465
112	25515	200284
113	25751	200142
114	25953	199726
115	26175	199477
116	26378	199080
117	26613	198921
118	26844	198737
119	27068	198501
120	27273	198130
121	27544	198229
122	27773	198024
123	27980	197671
124	28179	197255
125	28422	197149
126	28651	196949
127	28882	196761
128	29125	196653
129	29375	196587
130	29633	196577
131	29863	196374
132	30094	196179
133	30323	195969
134	30529	195616
135	30759	195415
136	30991	195226
137	31197	194869
